episode,score,score_avg100,time_steps,time_ep,time_total
301,0.0,0.025200000405311583,14,1.4176578521728516,21.906877040863037
302,0.0,0.025200000405311583,14,1.4293057918548584,23.33675789833069
303,0.0,0.024300000388175248,15,1.4555063247680664,24.79288339614868
304,0.0,0.024300000388175248,14,1.4373149871826172,26.230899333953857
305,0.0,0.024300000388175248,14,1.4297118186950684,27.661218881607056
306,0.0,0.024300000388175248,14,1.4294941425323486,29.091317892074585
307,0.0,0.024300000388175248,14,1.4300243854522705,30.521949529647827
308,0.0,0.024300000388175248,15,1.4462742805480957,31.968825101852417
309,0.10000000149011612,0.024300000388175248,29,2.8433775901794434,34.81289982795715
310,0.10000000149011612,0.02530000040307641,31,2.955667495727539,37.7693305015564
311,0.09000000171363354,0.026200000420212744,30,2.761456251144409,40.53177547454834
312,0.0,0.026200000420212744,14,1.298231840133667,41.83071708679199
313,0.0,0.026200000420212744,15,1.418398380279541,43.24985098838806
314,0.0,0.026200000420212744,14,1.3058805465698242,44.55653142929077
315,0.0,0.026200000420212744,14,1.291118860244751,45.848499059677124
316,0.0,0.026200000420212744,14,1.290459394454956,47.13956642150879
317,0.0,0.026200000420212744,14,1.290757179260254,48.43093681335449
318,0.0,0.026200000420212744,15,1.2826743125915527,49.71432185173035
319,0.0,0.026200000420212744,14,1.335970401763916,51.05095720291138
320,0.0,0.026200000420212744,14,1.2701261043548584,52.32169818878174
321,0.0,0.024300000388175248,14,1.3227641582489014,53.64506459236145
322,0.0,0.024300000388175248,14,1.4289453029632568,55.07463622093201
323,0.0,0.024300000388175248,15,1.3039615154266357,56.37946081161499
324,0.09000000171363354,0.024300000388175248,29,2.570251941680908,58.95046281814575
325,0.0,0.023300000373274087,14,1.3578126430511475,60.309048652648926
326,0.0,0.023300000373274087,15,1.4236550331115723,61.7335422039032
327,0.0,0.023300000373274087,14,1.4276893138885498,63.161972999572754
328,0.10000000149011612,0.024300000388175248,31,3.1574654579162598,66.32038474082947
329,0.0,0.023300000373274087,14,1.487318754196167,67.80855751037598
330,0.0,0.022300000358372925,14,1.4473114013671875,69.25675797462463
331,0.0,0.022300000358372925,14,1.4313530921936035,70.68883299827576
332,0.0,0.022300000358372925,14,1.4487988948822021,72.13835787773132
333,0.10000000149011612,0.023300000373274087,33,3.0455572605133057,75.18456149101257
334,0.0,0.02240000035613775,14,1.3364672660827637,76.52199649810791
335,0.10000000149011612,0.023400000371038912,32,3.3192930221557617,79.84205031394958
336,0.0,0.023400000371038912,15,1.522000789642334,81.36491465568542
